EPF_Number__t2o,Gender,PermanentRecidence_cat,Recidence,CivilStatus_cat,HighestEducationQualification_cat,InterviewedBy,ExtraCurricularActivities,ApparelRelatedVocationalQualification,PreviousJob,ExperiencedSection_cat,RelativesInApparel,SpouseOccupation_cat,FamilyOppinionAboutTheJob,Referel_cat,ExpectationOfDoingTheJob_cat,AvailabilityOfTransportNearTheResidence,RetentionCategory,SelectedDepartment,ReasonForChooseApparel,PreviousWorkPlace,PersonalImpression,ContributionToTheFamilyIncome_cat,Children_cat,ApparelExperience,ReasonForLeaving_cat,Height,Weight,MedicalTest,IQTestScore,ExpectedSalary,FollowingExternalCourses,LastBasicSal_cat,Age Category,Age Joined,Age(Median),Is Terminated
11,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,TRUE,HaveAJob,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,LikeSewing,MASPlant,Average,High,ChildrenLessThan5Yrs,TRUE,JobIssue,170,50,Passed,90,25000,No,0to15000,3,25,27,No
12,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,169,49,Passed,75,25000,No,NoJob,1,18,19,No
13,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,MASPlant,Average,High,ChildrenLessThan5Yrs,TRUE,PersonalIssue,169,46,Passed,100,25000,No,15000to30000,2,23,22,No
14,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,High,ChildrenLessThan5Yrs,FALSE,NoJob,171,52,Passed,80,25000,No,NoJob,2,23,22,No
15,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Support,FALSE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMChecker,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,JobIssue,170,46,Passed,90,25000,No,0to15000,2,20,22,No
16,Female,No,ComingFromHome,Unmarried,PassedAL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,172,52,Passed,95,25000,No,NoJob,2,20,22,No
17,Female,Yes,ComingFromHome,Unmarried,PassedAL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,172,41,Passed,95,25000,No,NoJob,2,20,22,No
18,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,176,52,Passed,70,25000,No,NoJob,1,18,19,No
19,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Other,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,High,Unmarried,TRUE,NoJob,172,52,Passed,0,28000,No,NoJob,4,30,32,No
20,Female,No,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Moderate,Unmarried,TRUE,Other,163,44,Passed,75,25000,No,0to15000,1,18,19,No
21,Female,No,ComingFromHome,Married,PassedOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoJob,Like,Media,ShortTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Moderate,ChildrenLessThan5Yrs,TRUE,Other,174,56,Passed,90,25000,No,0to15000,2,23,22,No
22,Female,Yes,ComingFromHome,Married,PassedAL,Lahiru,FALSE,FALSE,Apparel,Support,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,ChildrenGreaterThan5Yrs,TRUE,JobIssue,168,49,Passed,85,25000,No,15000to30000,5,37,38,No
23,Female,Yes,ComingFromHome,Unmarried,PassedAL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Other,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Average,Low,Unmarried,TRUE,JobIssue,169,48,Passed,0,25000,No,15000to30000,2,23,22,No
24,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Moderate,Unmarried,FALSE,NoJob,170,51,Passed,90,25000,Yes,NoJob,2,23,22,No
25,Female,Yes,ComingFromHome,Unmarried,PassedAL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,LikeSewing,NoJob,Bad,Low,Unmarried,FALSE,NoJob,168,46,Passed,70,25000,No,NoJob,2,20,22,No
26,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,ChildrenGreaterThan5Yrs,TRUE,PersonalIssue,172,52,Passed,80,25000,No,0to15000,5,42,38,No
27,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,Other,NoJob,Bad,Moderate,Unmarried,FALSE,NoJob,168,54,Passed,75,16840,No,NoJob,2,22,22,No
28,Female,No,Boarded,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoJob,Like,Other,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,NoChildren,TRUE,JobIssue,169,49,Passed,90,25000,No,15000to30000,3,28,27,No
29,Female,No,Boarded,Married,PassedAL,Dinuka,FALSE,FALSE,Apparel,Sewing,FALSE,NoJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,ChildrenGreaterThan5Yrs,TRUE,Other,169,52,Passed,90,26000,No,15000to30000,5,38,38,No
30,Female,No,Boarded,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,JobIssue,172,50,Passed,80,25000,No,0to15000,5,39,38,No
31,Female,No,ComingFromHome,Married,UptoOL,Dinuka,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,Other,LongTerm,Yes,B,TMMO,LikeSewing,SamePlant,Average,High,ChildrenLessThan5Yrs,TRUE,JobIssue,172,49,Passed,0,25000,No,0to15000,3,27,27,No
32,Female,Yes,ComingFromHome,Married,PassedOL,Dinuka,FALSE,FALSE,Apparel,Sewing,FALSE,NoJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,ChildrenLessThan5Yrs,TRUE,PersonalIssue,163,54,Passed,95,16000,No,15000to30000,4,30,32,No
33,Female,Yes,ComingFromHome,Unmarried,PassedAL,Lahiru,FALSE,FALSE,Apparel,Other,FALSE,NoSpouse,Like,Media,ShortTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,JobIssue,169,46,Passed,85,25000,No,15000to30000,2,21,22,No
34,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Other,LongTerm,Yes,C,TMChecker,LikeSewing,SamePlant,Average,Low,Unmarried,TRUE,JobIssue,173,53,Passed,0,25000,No,15000to30000,2,21,22,No
35,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Support,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,Other,170,59,Passed,0,25000,No,0to15000,2,22,22,No
36,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,MASPlant,Average,High,NoChildren,TRUE,JobIssue,169,55,Passed,85,25000,No,15000to30000,4,33,32,No
37,Female,Yes,ComingFromHome,Unmarried,UptoOL,Dinuka,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,Other,NotMAS,Average,Low,Unmarried,TRUE,Other,163,46,Passed,70,25000,No,0to15000,2,20,22,No
38,Female,No,ComingFromHome,Married,UptoOL,Dinuka,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,ChildrenGreaterThan5Yrs,TRUE,Other,168,51,Passed,75,25000,No,0to15000,5,38,38,No
39,Female,No,ComingFromHome,Unmarried,UptoOL,Dinuka,FALSE,FALSE,Apparel,Support,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,Other,NotMAS,Average,Low,Unmarried,TRUE,JobIssue,168,46,Passed,75,25000,No,0to15000,1,19,19,No
40,Female,No,ComingFromHome,Unmarried,PassedAL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,LikeSewing,NoJob,Good,Low,Unmarried,FALSE,NoJob,160,48,Passed,85,16840,No,NoJob,1,19,19,No
41,Female,No,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,NonApparel,Sewing,FALSE,HaveAJob,Like,Other,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Good,High,ChildrenGreaterThan5Yrs,TRUE,PersonalIssue,170,59,Passed,0,25000,No,0to15000,5,37,38,No
42,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Other,FALSE,HaveAJob,Like,Other,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Average,High,NoChildren,TRUE,JobIssue,169,50,Passed,0,27000,No,15000to30000,4,34,32,No
43,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,JobIssue,172,51,Passed,90,26000,No,15000to30000,1,18,19,No
44,Female,No,ComingFromHome,Unmarried,PassedAL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,170,51,Passed,90,25000,No,NoJob,2,20,22,No
45,Female,No,Boarded,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,Other,NoJob,Average,Low,Unmarried,FALSE,NoJob,165,46,Passed,75,25000,No,NoJob,2,24,22,No
46,Female,Yes,ComingFromHome,Unmarried,PassedAL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,166,46,Passed,100,25000,No,NoJob,2,20,22,No
47,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,JobIssue,169,48,Passed,85,25000,No,15000to30000,1,19,19,No
48,Female,Yes,ComingFromHome,Unmarried,PassedOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,TRUE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,170,49,Passed,85,25000,Yes,NoJob,4,33,32,No
49,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,TRUE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,178,59,Passed,60,25000,No,NoJob,1,19,19,No
50,Female,Yes,Boarded,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,TRUE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,169,49,Passed,85,25000,No,NoJob,1,19,19,No
51,Female,No,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Bad,High,ChildrenLessThan5Yrs,TRUE,JobIssue,169,50,Passed,95,25000,No,0to15000,2,22,22,No
52,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,Other,LongTerm,Yes,A,TMMO,LikeSewing,SamePlant,Good,High,ChildrenGreaterThan5Yrs,TRUE,JobIssue,177,66,Passed,0,25000,No,15000to30000,4,33,32,No
53,Female,No,Boarded,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NonApparel,Other,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,FALSE,JobIssue,169,46,Passed,80,25000,No,15000to30000,5,36,38,No
54,Female,Yes,ComingFromHome,Married,UptoOL,Dinuka,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Average,High,ChildrenLessThan5Yrs,TRUE,JobIssue,170,51,Passed,0,25000,No,15000to30000,2,24,22,No
55,Female,Yes,ComingFromHome,Married,PassedAL,Lahiru,FALSE,FALSE,Apparel,Other,FALSE,HaveAJob,Like,Other,ShortTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,ChildrenGreaterThan5Yrs,TRUE,JobIssue,170,55,Passed,95,25000,No,0to15000,5,36,38,No
56,Female,No,ComingFromHome,Unmarried,PassedAL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,JobIssue,169,48,Passed,85,25000,No,0to15000,3,25,27,No
57,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,169,46,Passed,95,25000,No,NoJob,1,18,19,No
58,Female,Yes,ComingFromHome,Unmarried,PassedAL,Lahiru,FALSE,FALSE,NonApparel,Other,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,FALSE,JobIssue,170,49,Passed,90,27000,No,30000to50000,3,28,27,No
59,Female,Yes,ComingFromHome,Married,PassedAL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoJob,Like,Other,LongTerm,Yes,B,TMMO,LikeSewing,SamePlant,Average,High,ChildrenLessThan5Yrs,TRUE,JobIssue,172,58,Passed,0,28000,No,15000to30000,3,29,27,No
60,Female,No,Boarded,Married,PassedAL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,NoChildren,TRUE,PersonalIssue,163,44,Passed,85,25000,No,15000to30000,3,28,27,No
61,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Other,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,ChildrenGreaterThan5Yrs,TRUE,JobIssue,170,51,Passed,80,25000,No,0to15000,4,34,32,No
62,Female,Yes,ComingFromHome,Unmarried,PassedAL,Gihan,FALSE,FALSE,Apparel,Support,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,Other,NotMAS,Average,Low,Unmarried,TRUE,JobIssue,166,44,Passed,85,23000,No,15000to30000,2,24,22,No
63,Female,Yes,ComingFromHome,Married,UptoOL,Dinuka,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,Other,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Good,High,ChildrenGreaterThan5Yrs,TRUE,Other,160,44,Passed,0,25000,No,15000to30000,5,62,38,No
64,Female,No,ComingFromHome,Unmarried,PassedAL,Dinuka,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,ShortTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,166,44,Passed,75,25000,Yes,NoJob,1,19,19,No
65,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,NonApparel,Other,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,NoChildren,TRUE,Other,169,48,Passed,100,25000,No,0to15000,3,27,27,No
66,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,Other,NotMAS,Average,High,ChildrenGreaterThan5Yrs,TRUE,Other,170,51,Passed,70,25000,No,0to15000,5,37,38,No
67,Female,No,Boarded,Unmarried,UptoOL,Dinuka,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,166,44,Passed,55,25000,No,NoJob,1,19,19,No
68,Female,No,Boarded,Married,PassedAL,Lahiru,FALSE,FALSE,Apparel,Sewing,TRUE,HaveAJob,Like,Other,LongTerm,Yes,C,TMMO,Other,SamePlant,Average,High,NoChildren,TRUE,JobIssue,162,62,Passed,0,25000,No,15000to30000,3,27,27,No
69,Female,No,Boarded,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,JobIssue,172,58,Passed,80,25000,No,30000to50000,3,25,27,No
70,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoJob,Like,Other,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Average,High,NoChildren,TRUE,JobIssue,169,56,Passed,0,25000,No,15000to30000,5,37,38,No
71,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Average,High,ChildrenLessThan5Yrs,TRUE,JobIssue,174,66,Passed,0,25000,No,0to15000,4,34,32,No
72,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,TRUE,HaveAJob,Like,Other,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Average,Moderate,NoChildren,TRUE,Other,175,68,Passed,0,25000,No,15000to30000,3,25,27,No
73,Female,No,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,NoChildren,TRUE,JobIssue,170,58,Passed,70,25000,No,0to15000,4,30,32,No
74,Female,No,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,TRUE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,Moderate,NoChildren,TRUE,JobIssue,169,52,Passed,75,25000,No,15000to30000,2,21,22,No
75,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,DoNotLike,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,ChildrenGreaterThan5Yrs,TRUE,JobIssue,169,52,Passed,75,25000,No,15000to30000,5,35,38,No
76,Female,No,Boarded,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,LikeSewing,NotMAS,Average,Low,Unmarried,TRUE,JobIssue,166,50,Passed,80,28000,No,15000to30000,2,24,22,No
77,Female,No,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoJob,Like,Other,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Average,High,ChildrenLessThan5Yrs,TRUE,JobIssue,169,46,Passed,0,25000,No,0to15000,3,27,27,No
78,Female,No,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,TRUE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,169,45,Passed,95,25000,No,NoJob,1,19,19,No
79,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,TRUE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,Other,NoJob,Average,Low,Unmarried,FALSE,NoJob,166,44,Passed,90,25000,No,NoJob,1,18,19,No
80,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,ChildrenGreaterThan5Yrs,TRUE,NoJob,168,75,Passed,85,25000,No,NoJob,5,35,38,No
81,Female,No,ComingFromHome,Married,PassedOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Average,High,ChildrenLessThan5Yrs,TRUE,PersonalIssue,169,50,Passed,0,26000,No,15000to30000,4,31,32,No
82,Female,Yes,ComingFromHome,Unmarried,PassedAL,Lahiru,FALSE,FALSE,Apparel,Support,TRUE,NoSpouse,Like,Other,ShortTerm,Yes,C,TMMO,LikeSewing,SamePlant,Average,Low,Unmarried,TRUE,JobIssue,168,47,Passed,0,25000,No,15000to30000,2,24,22,No
83,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,TRUE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NotMAS,Average,High,ChildrenLessThan5Yrs,TRUE,PersonalIssue,166,44,Passed,55,26000,No,0to15000,3,25,27,No
84,Female,No,ComingFromHome,Unmarried,PassedAL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,169,56,Passed,80,25000,No,NoJob,2,20,22,No
